Age,year,fatality_count
00 - 05,2007,118
06 - 10,2007,106
11 - 15,2007,234
16 - 20,2007,977
21 - 25,2007,937
26 - 30,2007,792
31 - 35,2007,631
36 - 40,2007,379
41 - 45,2007,369
46 - 50,2007,344
51 - 55,2007,347
56 - 60,2007,278
61 - 65,2007,202
66 - 70,2007,197
71 - 75,2007,236
> 75,2007,135
00 - 05,2008,109
06 - 10,2008,107
11 - 15,2008,240
16 - 20,2008,1149
21 - 25,2008,1037
26 - 30,2008,681
31 - 35,2008,490
36 - 40,2008,387
41 - 45,2008,369
46 - 50,2008,351
51 - 55,2008,356
56 - 60,2008,372
61 - 65,2008,366
66 - 70,2008,180
71 - 75,2008,169
> 75,2008,164
00 - 05,2009,32
06 - 10,2009,65
11 - 15,2009,361
16 - 20,2009,1057
21 - 25,2009,756
26 - 30,2009,532
31 - 35,2009,672
36 - 40,2009,637
41 - 45,2009,620
46 - 50,2009,365
51 - 55,2009,335
56 - 60,2009,325
61 - 65,2009,301
66 - 70,2009,339
71 - 75,2009,208
> 75,2009,140
00 - 05,2010,33
06 - 10,2010,99
11 - 15,2010,346
16 - 20,2010,1258
21 - 25,2010,1043
26 - 30,2010,675
31 - 35,2010,498
36 - 40,2010,401
41 - 45,2010,356
46 - 50,2010,360
51 - 55,2010,392
56 - 60,2010,364
61 - 65,2010,283
66 - 70,2010,277
71 - 75,2010,223
> 75,2010,264
00 - 05,2011,39
06 - 10,2011,89
11 - 15,2011,351
16 - 20,2011,1264
21 - 25,2011,1046
26 - 30,2011,706
31 - 35,2011,487
36 - 40,2011,373
41 - 45,2011,359
46 - 50,2011,350
51 - 55,2011,399
56 - 60,2011,350
61 - 65,2011,298
66 - 70,2011,264
71 - 75,2011,235
> 75,2011,267
00 - 05,2012,24
06 - 10,2012,59
11 - 15,2012,385
16 - 20,2012,1032
21 - 25,2012,1116
26 - 30,2012,789
31 - 35,2012,570
36 - 40,2012,478
41 - 45,2012,453
46 - 50,2012,414
51 - 55,2012,356
56 - 60,2012,332
61 - 65,2012,294
66 - 70,2012,297
71 - 75,2012,216
> 75,2012,102
00 - 05,2013,59
06 - 10,2013,47
11 - 15,2013,296
16 - 20,2013,960
21 - 25,2013,1139
26 - 30,2013,856
31 - 35,2013,586
36 - 40,2013,469
41 - 45,2013,481
46 - 50,2013,327
51 - 55,2013,378
56 - 60,2013,325
61 - 65,2013,324
66 - 70,2013,300
71 - 75,2013,179
> 75,2013,189
00 - 05,2014,75
06 - 10,2014,66
11 - 15,2014,326
16 - 20,2014,1131
21 - 25,2014,891
26 - 30,2014,855
31 - 35,2014,528
36 - 40,2014,405
41 - 45,2014,394
46 - 50,2014,362
51 - 55,2014,367
56 - 60,2014,332
61 - 65,2014,328
66 - 70,2014,233
71 - 75,2014,190
> 75,2014,191
00 - 05,2015,73
06 - 10,2015,55
11 - 15,2015,366
16 - 20,2015,934
21 - 25,2015,828
26 - 30,2015,641
31 - 35,2015,579
36 - 40,2015,489
41 - 45,2015,441
46 - 50,2015,425
51 - 55,2015,416
56 - 60,2015,418
61 - 65,2015,394
66 - 70,2015,348
71 - 75,2015,136
> 75,2015,163
00 - 05,2016,79
06 - 10,2016,77
11 - 15,2016,448
16 - 20,2016,1161
21 - 25,2016,1000
26 - 30,2016,657
31 - 35,2016,572
36 - 40,2016,459
41 - 45,2016,411
46 - 50,2016,418
51 - 55,2016,398
56 - 60,2016,389
61 - 65,2016,317
66 - 70,2016,279
71 - 75,2016,227
> 75,2016,260
00 - 05,2017,75
06 - 10,2017,73
11 - 15,2017,417
16 - 20,2017,1090
21 - 25,2017,989
26 - 30,2017,614
31 - 35,2017,534
36 - 40,2017,428
41 - 45,2017,382
46 - 50,2017,389
51 - 55,2017,370
56 - 60,2017,362
61 - 65,2017,295
66 - 70,2017,263
71 - 75,2017,214
> 75,2017,245
