year,JOHOR,KEDAH,KELANTAN,MELAKA,NEGERI SEMBILAN,PAHANG,PERAK,PERLIS,PULAU PINANG,SABAH,SARAWAK,SELANGOR,TERENGGANU,W.P. KUALA LUMPUR
2009,51747,17701,9549,13275,18369,17068,32327,1633,33719,15798,16655,107429,10118,51942
2010,55381,17966,9707,14110,19407,17315,32072,1548,34306,16192,17253,115565,10106,53493
2011,59501,19699,9603,14720,21157,19001,33506,1791,37158,16585,17964,128876,10684,58795
2012,62316,19935,9968,15195,22146,20554,34714,1881,37851,17446,18578,129106,10861,61872
2013,64600,20228,9748,16083,23066,20130,35408,1895,39361,17438,18700,135024,10996,64527
2014,64473,20159,9383,16375,23748,19071,35131,1888,38747,17693,17858,137809,10326,63535
2015,67112,22016,9960,17069,22939,19635,36736,1861,39856,17290,19130,140957,10381,64664
2016,73116,23200,10544,18601,24428,20465,38531,2062,42244,17298,20065,151253,10793,68866
2017,76121,23262,10786,18771,24941,20813,38587,1925,43007,17244,19807,154958,10713,72940
2018,78812,23239,10983,19120,25123,20641,38278,2093,45734,18006,20600,163078,10607,72284
