COUNTRY,TOTAL AREA (Sq. KM),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,RANK OF POP. DENSITY IN 20
Brunei Darussalam,"5,765",65,70,67,68,69,70,71,72,72,73,9
Cambodia,"181,035",76,78,79,80,81,81,82,84,85,87,7
Indonesia,"1,916,862",119,121,122,126,128,130,132,133,135,137,4
Lao PDR,"236,800",25,26,26,27,28,28,29,27,28,29,10
Malaysia,"331,388",83,85,86,88,89,91,93,94,95,97,6
Myanmar,"676,576",86,87,88,89,89,76,77,78,78,79,8
Philippines,"300,000",302,307,310,316,322,327,333,339,344,350,2
Singapore,719.9,"6,846","7,025","7,146","7,273","7,379","7,500","7,598","7,689","7,789","7,796",1
Thailand,"513,140",130,130,128,129,130,130,131,131,131,132,5
Viet Nam,"331,231",257,260,262,265,268,271,274,277,280,283,3
