YEAR,Brunei Darussalam,Cambodia,Indonesia,Lao PDR,Malaysia,Myanmar,Philippines,Singapore,Thailand,Viet Nam
2008,548,16,270,128,652,40,65,185,384,11
2009,436,22,291,145,677,41,67,186,392,13
2010,294,18,328,161,706,45,71,186,418,15
2011,377,17,354,171,736,47,75,185,441,17
2012,595,18,385,198,769,71,77,183,473,18
2013,643,19,418,217,788,78,78,180,502,19
2014,714,23,450,232,817,94,81,178,518,20
2015,,26,473,265,843,103,86,173,529,23
2016,936,34,495,279,873,116,90,170,536,27
2017,971,28,499,293,897,127,99,171,548,31
